OBJECTID,geoid,county,am,pm,af,anomaly_af,anomaly_am,anomaly_pm,mean_impervious,mean_canopy,total_population,male_pop_under_5,female_pop_under_5,65_older_pct,65_older_pop,poverty,poverty_pct,median_inc,state,region,whit_nh_pct,MinorityPercent,SHAPE_Length,SHAPE_Area
1838,41051000100,Multnomah County,61.1468135,84.72604637,89.19069293,1.176619691,1.062747878,0.955030511,32.55365324,19.35931762,6650,276,212,18.4,1223,6644,6.1,91286,Oregon,Portland,87.9,12.1,0.222498307,0.000430702
1839,41051000200,Multnomah County,60.69768694,85.33678419,89.09295729,1.078884049,0.613621321,1.565768336,58.44771612,8.418682546,6389,119,172,15.2,971,6389,17.7,66910,Oregon,Portland,82.3,17.7,0.083271543,0.000274497
1840,41051000301,Multnomah County,60.75090874,84.86110221,88.75248682,0.73841358,0.666843112,1.09008636,47.16066589,17.80937857,5777,130,81,13.2,764,4719,14.4,63958,Oregon,Portland,73.9,26.1,0.075844066,0.000267975
1841,41051000302,Multnomah County,59.81436824,83.02991751,88.16953603,0.15546279,-0.269697384,-0.741098342,36.35626398,27.10310988,7578,360,301,14.5,1101,7562,2.8,143269,Oregon,Portland,87.7,12.3,0.082739097,0.000370127
1842,41051000401,Multnomah County,58.75644053,84.79111752,88.2199931,0.205919853,-1.327625091,1.020101665,54.17307692,7.104712042,3778,116,98,12.7,480,3758,5.5,83636,Oregon,Portland,87,13,0.051538045,0.000156132
1843,41051000402,Multnomah County,58.51910388,84.90192596,88.68863932,0.674566075,-1.564961746,1.130910107,56.27056111,3.66286583,3635,116,143,11.4,415,3616,6.2,69420,Oregon,Portland,82.6,17.4,0.048516341,0.00013473
1844,41051000501,Multnomah County,58.71875477,85.0590628,88.75055214,0.736478894,-1.365310854,1.288046948,59.95773525,1.525671406,4327,174,165,8.2,354,4327,16,71101,Oregon,Portland,77.7,22.3,0.046424173,0.000129843
1845,41051000502,Multnomah County,59.25324251,85.05652183,88.95305765,0.93898441,-0.830823117,1.285505978,62.85356696,3.470153846,4924,129,163,10.7,526,4896,9.1,68779,Oregon,Portland,66.1,33.9,0.064849073,0.000165369
1846,41051000601,Multnomah County,58.02885646,85.12429476,89.20802372,1.193950477,-2.055209164,1.353278907,54.67404783,3.992399566,5850,166,81,9.3,545,5806,18.7,58906,Oregon,Portland,57.2,42.8,0.067274648,0.000234012
1847,41051000602,Multnomah County,58.55841041,85.64196162,89.25103226,1.236959023,-1.525655217,1.870945769,63.05197618,1.432174144,6079,173,203,8.6,523,6069,20.3,61049,Oregon,Portland,48.8,51.2,0.068978651,0.000190868
1848,41051000701,Multnomah County,59.57890422,84.66516398,88.72313588,0.709062638,-0.505161404,0.894148126,57.3989899,3.607087348,4744,184,112,11.6,552,4744,7.4,66635,Oregon,Portland,71.1,28.9,0.056859897,0.000163976
1849,41051000702,Multnomah County,59.3950593,84.41771589,89.01501167,1.000938424,-0.689006321,0.646700036,58.83216337,2.418216199,5632,242,125,12.1,682,5589,23.6,69444,Oregon,Portland,66.1,33.9,0.059283671,0.000162112
1850,41051000801,Multnomah County,59.62377631,84.76798364,88.41716447,0.403091232,-0.460289312,0.996967786,55.57365685,8.481617647,5061,121,110,9.7,490,5049,13.1,74861,Oregon,Portland,73.5,26.5,0.061963155,0.000179481
1851,41051000802,Multnomah County,59.57533701,84.70256493,88.58818836,0.574115114,-0.508728612,0.931549072,60.49526387,6.740046068,5039,154,68,7.7,389,5031,11.1,63944,Oregon,Portland,72.9,27.1,0.061610992,0.000153252
1852,41051000901,Multnomah County,60.24925958,84.73966249,88.18092744,0.166854202,0.16519396,0.968646639,55.54472843,13.64007782,4795,204,106,8.8,421,4750,7,90163,Oregon,Portland,74.9,25.1,0.048438387,0.000129768
1853,41051000902,Multnomah County,60.44778028,84.87433418,88.42488518,0.410811939,0.363714656,1.103318322,61.59641256,8.423264042,4881,199,185,8.3,404,4789,16.9,59764,Oregon,Portland,74.1,25.9,0.048745678,0.0001153
1854,41051001000,Multnomah County,61.4811023,85.33171342,89.05122137,1.03714813,1.397036679,1.560697569,71.81517094,5.811611998,6139,92,158,7.5,461,6044,9.9,82217,Oregon,Portland,78.7,21.3,0.069044714,0.000290626
1855,41051001101,Multnomah County,62.68062843,85.24110941,89.09554236,1.081469121,2.596562804,1.470093554,82.40638978,1.943099654,2705,0,71,5.5,150,2705,29.2,39207,Oregon,Portland,75.6,24.4,0.071252645,0.000162088
1856,41051001102,Multnomah County,62.29409421,85.63524855,88.80973296,0.795659718,2.210028587,1.864232694,76.7494577,4.267305644,1474,6,43,7.3,108,1460,11.2,75956,Oregon,Portland,84.1,15.9,0.042285091,9.55E-05
1857,41051001201,Multnomah County,61.53282326,84.65526626,88.42883416,0.414760919,1.448757631,0.884250404,53.9223301,19.24857414,5385,62,0,7.9,424,5324,14.6,67472,Oregon,Portland,83.7,16.3,0.043966529,0.000106815
1858,41051001202,Multnomah County,60.72650754,84.77492498,88.16410108,0.150027834,0.642441914,1.003909121,53.5105973,13.74753173,3534,68,76,13.2,468,3533,6.5,111467,Oregon,Portland,88.5,11.5,0.045490689,0.00010754
1859,41051001301,Multnomah County,60.81992524,84.73253854,88.34256797,0.328494725,0.735859612,0.961522685,62.45465538,10.5927865,4191,101,73,9.7,406,4063,11,80441,Oregon,Portland,88.9,11.1,0.038276367,8.58E-05
1860,41051001302,Multnomah County,60.44716835,85.08636859,88.12138361,0.107310367,0.363102727,1.315352738,57.76009501,9.215302491,3600,43,152,8.6,310,3557,8.3,89338,Oregon,Portland,87.9,12.1,0.03847545,8.73E-05
1861,41051001400,Multnomah County,60.20252338,85.25255036,88.26009617,0.246022924,0.118457756,1.481534509,62.03928836,6.400800874,5866,260,121,9.5,555,5857,11.1,83164,Oregon,Portland,81.1,18.9,0.051461412,0.00013996
1862,41051001500,Multnomah County,60.17991748,84.03984417,88.1609402,0.146866954,0.095851861,0.268828316,51.26923077,17.52751251,3648,131,145,11.9,434,3623,5.7,104643,Oregon,Portland,85.9,14.1,0.043646765,0.000112943
1863,41051001601,Multnomah County,59.81197743,82.9028095,87.50831424,-0.505759004,-0.272088194,-0.868206353,41.86287114,21.06713622,6427,95,195,21.3,1369,5946,12.8,74957,Oregon,Portland,78.4,21.6,0.076267447,0.000339055
1864,41051001602,Multnomah County,58.93520973,84.8971523,89.14646434,1.132391095,-1.14885589,1.126136448,56.59179266,2.986243386,4545,139,69,10.5,477,4545,22.5,50250,Oregon,Portland,58.6,41.4,0.055613573,0.000191857
1865,41051001701,Multnomah County,59.6802248,84.49926012,88.83654732,0.822474077,-0.403840822,0.728244266,65.2176235,3.42872783,6818,138,309,11.2,764,6674,9.9,67652,Oregon,Portland,73.8,26.2,0.071629062,0.000233228
1866,41051001702,Multnomah County,59.45662269,84.11028156,89.27157913,1.257505888,-0.627442936,0.339265704,58.11561462,4.906280508,4348,198,131,10.6,460,4110,10.1,67375,Oregon,Portland,60,40,0.064676813,0.000156076
1867,41051001801,Multnomah County,60.89785476,84.58486737,88.67939192,0.665318678,0.813789141,0.81385152,64.54984663,7.317490494,4650,98,59,10.6,491,4497,15.1,63117,Oregon,Portland,78.8,21.2,0.083140724,0.000134617
1868,41051001802,Multnomah County,60.55760949,84.4584779,88.33169561,0.317622372,0.473543869,0.687462047,54.7628524,13.112,3845,73,112,13.9,535,3798,6.2,72857,Oregon,Portland,79.5,20.5,0.062377784,0.000124711
